Id,twitter,polarity,aspect1,aspect2,aspect3,aspect4
31,@estadaointer governo da nova zelândia destina 20% dos salários para combate ao novo coronavírus -via @estadaointer https://t.co/pyz895q1wu,1,nova zelândia,salários,combate,none
32,@estadaopolitica @jairbolsonaro o banco mundial não acha de todo ruim e até citou uma ação do governo bolsonaro como exemplo: a redução de burocracia para importação de produtos que combatem o coronavírus.https://t.co/yucte3wtyt https://t.co/3igsbmqmsu,-1,banco mundial,governo bolsonaro,redução da burocracia para importação de produtos,none
33,"@evacalina desde há 2 dias ?! isto agora mudou imenso... uma variedade de temas, deixou de ser enjoativo, ora vê: - covid-19 - pandemia- coronavirus- surto- vacina- testes pronto, acho que disse todos, ufa !!! 😛",-1,Covid-19,pandemia,coronavirus,vacina
34,"olha que ótima notícia também! posta ou retweetar fabão, me ajudar a espalhar, enfim, noticias como essas trazem esperança. grande abraço. https://t.co/klz1hdxydh",1,none,none,none,none
35,você deveria ter vergonha de postar isso. quando quiseram votar pra diminuição dos salários dos servidores e ] pra ajudar a diminuir os gastos nesse tempo de coronavirus vcs votaram contra agora vem com essa de se importar com os mais pobres. me poupe.,-1,diminuição de salários,none,none,none
36,"@helobrasileira @adrianosavix @edermauropa @denisesangoi @vlogdolisboa @vlogdolisboanew 😤 em fortaleza a construção de um hospital temporário no estádio presidente vargas com gasto de 💰80 milhões, para eventuais pacientes de coronavírus. obs: e não investe no novo hospital que já existe com 200 leitos e fechado. que país é esse😤 https://t.co/yvvhlxty52",-1,hospital temporário,pacientes,leitos,none
37,"deputada, a única opção rápida é realmente a renúncia do presidente? juridicamente nada pode ser feito? a conta pra esse sociopata só vai chegar com a avalanche de cadáveres? o brasil não merece esse lixo de pr https://t.co/7dc2lipufc",-1,renúncia do presidente,avalanche de cadáveres,none,none
38,"ah, lacrou? vc está enganado, ele previu sim 1 milhão de mortes até agosto. espero que você passe a pesquisar o básico no google na próxima postage,evitando assim a vergonha que passa. https://t.co/a6xfzwwyx8",-1,mortes,none,none,none
39,eu a d o r o o ar professoral com que o asno @osmarterra ensina o burrico @bolsonarosp . tá sabendo mais do que as autoridades sobre a curva. esqueceu só q não se sabe se o #coronavirus faz o corpo criar anticorpos e os bolsominions saem falando como se sim.,-1,curva,anticorpos,none,none
40,"temos apenas um inimigo: o novo coronavírus. quanto ao medicamento, não preciso tomar, estou assintomático.",1,novo coronavírus,medicamento,none,none
41,"divulga, pela primeira vez, o número de pessoas recuperadas do #coronavírus, até 14/04:▶️25.262 pacientes diagnosticados p/ #covid-19▶️1.532 óbitos▶️9.704 pacientes internados▶️14.026 recuperados",1,recuperadas,pacientes diagnosticados,pacientes internados,óbitos
42,"sua risada amiga, eu acho que ela é a cura pro coronavírus",1,cura,none,none,none
43,prevendo o pico do coronavírus é igual pedreiro prevendo o final da obra. #mandettademitido #mandettagenocida #covid_19,-1,pico,none,none,none
44,que bagunça... jair bolsonaro mata mais que o coronavírus. queria estar surpreso,-1,jair bolsonaro,none,none,none
45,e as mortes? e os casos que ainda tem? mas para aquele senhor é só uma gripezinha https://t.co/tawf4yx67q,-1,mortes,casos,gripezinha,none
46,átila explicando sobre o coronavirus. https://t.co/whmayvyir3,1,none,none,none,none
47,"você sabe mto bem qual é o vídeo citado até pq o tema em questão aqui é o coronavírus. mas se vc acha interessante trazer o currículo do cara para justificar qualquer coisa, então fique a vontade.",1,none,none,none,none
48,"em ivoti todo mundo vai ter coronavírus, academias abrindo hoje. comércio aberto desde fim de semana já",-1,comércio,none,none,none
49,"em um país sério ele seria preso, processado, julgado e condenado, bolsonaro trouxe o coronavírus no aerovid-19 (aerococa), pegou o resultado por duas vezes testando positivo e fez questão de disseminar a doença em brasília. País não sério: o aras comandando a pgr arquivaria.",-1,bolsonaro,Aerovid-19,none,none
50,o governo estadual de sp errou feio sobre a quantidade de mortes por coronavírus!!!é necessário revermos urgentemente as atuais regras estabelecendo metas para a flexibilização e o término da suspensão da atividade das empresas e comércio!#bolsonarotemrazãosim https://t.co/6mxetlitq7,-1,governo,sp,mortes,none
51,só lembrando que o vírus que provoca o resfriado comum também é do tipo coronavirus.,-1,vírus,none,none,none
52,"eu achei isso intrigante. logo na hora que uma loira, chique, bonita e rica me lacrou para a gente sair na semana o coronavírus veio bater em fortaleza foi ligeiro rapaz! essa foi por pouco loiras!",1,none,none,none,none
53,"talíria a maconha faz mal para o coronavírus viu, já avisou no twitter?",1,none,none,none,none
54,"eu sei que praga não vale e não pega, más como eu gostaria de ver você pegar o coronavírus e ter que falar pro medico que não quer que use o cloroquina, ahh, más os repórteres e apresentadores da esquerda são imunes. como você pode ser tão vadia.",-1,médico,cloroquina,none,none
55,"você é tão mentiroso que ninguém consegue acreditar em uma palavra de que diz, nem que esteja com coronavirus. mas, é um sinal que essa quarentena é uma farsa. Aproveita e renúncia canalha! #impeachmentdowitzel #witzelditador",-1,quarentena,none,none,none
56,#bahiafazciência cientistas baianos propõem novas drogas para tratar o #coronavírus https://t.co/7xquotjk1l..#sectiba #ciência #tecnologia #inovação #covid19 #covid2019 https://t.co/bqw5kwgjf0,1,cientistas,drogas,none,none
57,"#bolsonarotemrazao vão vendo... alguns governantes, ferrenhos defensores do isolamento, estão sendo infectados pelo coronavírus, mas o presidente jair bolsonaro que, segundo a imprensa vermelha, vive saçaricando por aí está mais tranquilo que “água de poço”!!!",-1,governantes,none,none,imprensa vermelha
58,#bomdia eu insisto e persisto. é viável fazer um pacto federal entre poderes para repassar os 2 bilhões do fundo eleitoral para saúde e auxílio às vítimas do coronavírus. mas o trabalho de convencimento dos políticos tem que ser feito pelo povo. https://t.co/anqyajn3a8,1,none,fundo eleitoral,auxílio,none
59,"#bomdiabrasil a globo está desde as 4 da manhã falando a mesma coisa. parece que não há outro assunto a não ser coronavírus. que saco! só tocam o terror o dia todo. parece que torcem pelo pior. essa ana paula fala com um despeço, nojo de tudo. ninguém quer saber a opinião dela",-1,globo,none,none,none
60,#combateaocoronavírus | nossos parlamentares estão apoiando as discussões sobre o combate ao #covid19 (ou #coronavírus). o deputado @genpeternelli (sp) falou sobre as principais ações discutidas dentro do parlamento. assista! https://t.co/nqyko1tnvp,1,none,combate,none,none
61,"#coronavírus | @mineconomia propõe alternativa ao projeto de lei de apoio a estados e municípios aprovado pela câmara. entre as novas medidas e as que já estão em andamento, o valor do auxílio aos entes federativos chegaria a r$ 127,3 bilhões. saiba mais: https://t.co/k5ab4obxhm https://t.co/8xocztzqvl",1,none,auxílio financeiro,none,none
62,#coronavírus | protocolo da vigilância sanitária sobre o descarte do lixo domiciliar em casos positivos para covid-19 em quarentena domiciliar. https://t.co/5lkcf48ofn https://t.co/zqvkasqo9y,-1,vigilância sanitária,lixo domiciliar,casos,quarentena domiciliar
63,#coronavirus 15 de abril 2020 #covid19 https://t.co/a6qrnx6fzt,1,none,none,none,none
64,"#coronavírus: aplicações acontecem das 19 às 22 horas e a previsão é que sejam feitas ao longo de duas semanas nas praças públicas, avenidas, serviços de saúde e comércios https://t.co/yq7bobv2hp",1,none,none,none,none
65,#coronavírus: bolsonaro é eleito o pior líder a lidar com o coronavírus https://t.co/ifqhult22h,-1,bolsonaro,none,none,none
66,#coronavírus: mais um exemplo do esforço brasileiro no combate à covid-19. uma equipe de cientistas da unesp descobriu um gene humano que pode ter relação com a maior evidência de pacientes homens e idosos infectados pelo coronavírus https://t.co/e76cm1lg6l,1,combate,cientistas,pacientes,pacientes infectados
67,"#coronavírus: os estados unidos registraram 2.228 mortes nessa terça-feira (14/04) provocadas pelo novo coronavírus. o número foi apresentado às 21h30, em contagem feita pela universidade johns hopkins. agora, o país tem pouco mais de 26 mil mortes https://t.co/qcg7yms8hi",-1,estados unidos,mortes,novo coronavírus,none
68,"#coronavírus: plano piloto é a ra que menos respeita o isolamento. uma média de 50,4% das pessoas da área central de brasília se mantiveram em quarentena. na outra ponta, está o riacho fundo 2, com 79,1% #metrópoles https://t.co/armkcj6chi",1,brasília,quarentena,none,none
69,"#covid19| não há risco de desabastecimento no país, garante o ministro @tarcisiogdf, @minfraestrutura, em entrevista exclusiva à tv brasil 📺 #coronavirus https://t.co/fwgdgcq1rn",-1,risco de desabastecimento,none,none,none
70,"#covid19| ministro do @minfraestrutura, @tarcisiogdf, indica que o @govbr trabalha para otimizar a malha aérea neste momento de crise com a #pandemia do #coronavirus, em entrevista exclusiva à tv brasil 📺 https://t.co/2ogpnrzyde",1,crise,none,none,none
71,"#covid19pt #açores 15/04, 11h55: açores registam 5º óbito por coronavírus, https://t.co/qllpj6wa7v",-1,óbito,none,none,none
72,#defensorasedefensorespúblicosnãoparam#adefensoriaestadualnãopara#defensoriasimcoronavírus: decreto de itaguaí distribui cestas básicas à alunos da rede pública . https://t.co/cgg9zjg06r https://t.co/qe8pxe4too,1,none,none,none,none
73,#defensorasedefensorespúblicosnãoparam#adefensoriaestadualnãopara#defensoriasimcoronavírus: gt de regularização fundiária da dpe-pa garante a suspensão de reintegrações de posse em belém e castanhalhttps://t.co/gu0rjpazly https://t.co/totxqu8vf8,1,none,none,none,none
74,#defensorasedefensorespúblicosnãoparam#defensoriasimcoronavírus: defensoria pública de ms faz recomendação ao município de sonora para que seja realizado o controle de acesso de pescadores à comunidade quilombola durante pandemia . https://t.co/4wjh3fxyut https://t.co/uozfdmfnob,1,controle de acesso,none,pandemia,none
75,"#estamospresentes | quando unimos nossas forças, podemos ir mais longe! 💪 seguimos empenhados em apoiar ações de combate ao coronavírus e temos uma novidade: iniciamos as obras para implantação rede de água em hospital de campanha [...] https://t.co/xedfle20e9",1,ações de combate,hospital de campanha,none,none
76,#mandetta até durou muito no governo nefasto e fascistóide do #bozo - certamente entrará um pau mandado que irá ser subserviente ao discurso anti-vida do covidiota maior da nação. #coronavirus #covid2019 #pandemia #bozocaladopoeta https://t.co/iw6gwkiwh0,-1,governo,none,none,none
77,#plenário: dep. @cabobebeto parabeniza iniciativas do @ifal_oficial e da @ufaloficial no enfrentamento ao coronavírus.,1,enfrentamento,none,none,none
78,"#pracegover: ícones representando duas pessoas, com uma seta indicando o distanciamento entre elas. texto: distanciamento social não é férias. precisamos estar sempre atentos à higiene e sair de casa somente em extrema necessidade. o coronavírus não obedece às suas regras.",1,distanciamento social,higiene,none,none
79,#todesacocheiode tanto ouvir a palavra coronavírus. https://t.co/82l3aqtfda,1,none,none,none,none
80,"bolsonaro abraça os eleitores, dá a mão pras pessoas, vai na padaria, vai na farmacia: 3 testes negativos pro coronavírus.• wilson witzel quarentena, lockdown, isolamento total, máscara, álcool em gel: pegou coronavírus.parece que o jogo virou, queridinho!",1,testes,isolamento,máscara,none
81,☀ #bomdia#democracia #divulgueaverdade #carapicuibasp #saude 💉 #coronavirus #maismedicos #defendaosus🇧🇷 por zezinho almeida - enrolando o lero. bolsonaro incompetente e mandeta sem planejamento vão empurrando com a barriga testagem? aumentar leitos? respiradores ? https://t.co/0rotuoci3z,-1,bolsonaro,testagem,respiradores,none
82,"✊🏿 mst enfrenta pandemia do coronavírus com a solidariedade | sem terra doam mais de três toneladas de frutas e verduras dos assentamentos em santa maria da boa vista, no pernambuco  . saiba mais: https://t.co/rjzwm6c71j#quarentenasemterra#alimentosaudáveléumdireito https://t.co/yfut0nkvrk",1,none,none,pernambuco,none
83,✨ mais uma iniciativa pra ajudar quem estiver passando por dificuldade... além do varal de máscaras a instituição também tá arrecadando alimentos para a montagem de cestas básicas ✨https://t.co/njqgxpw6wt,1,varal de máscaras,none,none,none
84,➡ médicos preveem que brasil não volta à normalidade antes de agosto tanto o ministério da saúde quanto especialistas ouvidos pelo uol esperam que a situação do coronavírus piore cada vez mais até o mês de junho.segue o fio para entender melhor! 👇 https://t.co/mjlyk0h2ru,-1,médicos,brasil,ministério da saúde,none
85,🌟 maranhão não registra mortes por coronavírus pela primeira vez em 12 dias https://t.co/dcn0tnmaaq,-1,maranhão,mortes,none,none
86,"👩🔬 concurso para área da saúde✍ inscrições pelo site, de 15/04 a 22/04: https://t.co/6ruwhfa5pc#vereadorricardoteixeira #respeito #trabalho #juntossomosmaisfortes #coronavirus #concursopublico https://t.co/kpjstlqpee",1,none,none,none,none
87,"💊🔎 três farmácias no leblon foram inspecionadas na segunda-feira (13) por agentes da @visa_rio, após denúncias de comercialização de testes rápidos para o novo #coronavirus. na ação, não foi constatada a venda do produto, restrita a unidades hospitalares. #riocontraocorona https://t.co/lofchrrmoa",-1,comercialização de testes rápidos,unidades hospitalares,none,none
88,🔴 coronavírusneste momento os estados unidos se tornam o país com mais mortes e mais casos de #coronavírus. o país mais rico e poderoso do planeta agora é o epicentro da pandemia,-1,estados unidos,mortes,epicentro da pandemia,none
89,🔴 urgente número de casos confirmados de #coronavírus no mundo chega a 2 milhões,-1,casos confirmados,none,none,none
90,🔴 urgente casos confirmados de #coronavírus no mundo chegam a 2 milhões,-1,casos confirmados,none,none,none
91,😷 o @governosp comprou 18 milhões de #máscaras de proteção da china.✅ a medida vai reforçar os estoques de equipamentos de proteção individual (epis) da #secretariadasaúdesp.▶️ o investimento totaliza r$ 63 milhões.🔗 https://t.co/xh5ezicreb#coronavírus #governosp https://t.co/rjg4a4obih,1,máscaras,china,none,sp
92,"o coronavírus não foi criado como arma biológica, mas psicológica. não para espalhar mortes, mas para espalhar o medo. mas não tenho dúvidas de que, para o caso de falhar essa estratégia, uma pandemia de verdade já esteja em preparação.",-1,arma biológica,mortes,pandemia,none
93,107 respiradores chegam ao maranhão para ajudar no combate ao #coronavírus. https://t.co/emjru8ky8b,1,respiradores,maranhão,combate ao coronavírus,none
94,32% dos casos de coronavírus no paraná já estão curados! são 199 pessoas recuperadas entre 9 e 84 anos de idade!https://t.co/41dvk8k8un,1,casos de coronavírus,paraná,pessoas recuperadas,none
95,"a atividade humana desacelerou no mundo todo devido ao surto de coronavírus, mas a extração ilegal de madeira e grilagem de terras na floresta amazônica não mostra sinais de diminuição https://t.co/jxwzajvwjl",-1,surto de coronavírus,none,none,none
96,"a câmara dos deputados aprovou ontem, projeto que estabelece auxílio financeiro a estados e municípios durante 6 meses pela perda das receitas com arrecadação de impostos por causa da pandemia do coronavírus. o impacto do projeto aprovado pelos deputados é de r$ 89,6 bilhões. https://t.co/qtqkzl1vru",1,câmara de deputados,auxílio financeiro,perda das receitas,arrecadação de impostos
97,"a capital amazonense será a primeira a receber voluntários da saúde do programa “o brasil conta comigo”. estudantes de medicina, enfermagem, fisioterapia e farmácia atuarão no combate ao coronavírus. também haverá o apoio da tele-uti para auxiliar no atendimento dos casos.",-1,tele-uti,casos,none,none
98,"a crise sanitária desencadeada pelo coronavírus no mundo mostra a importância de um sistema de saúde inclusivo e universal no brasil. graças aos investimentos robustos feitos pelos governos lula e dilma na saúde, o país tem condições de passar pela fase aguda da doença.",-1,crise sanitária,sistema de saúde,doença,none
99,a cura do coronavírus... https://t.co/qhn6ycumpf,1,cura,none,none,none
100,"a empresária samanta santos faria, de 35 anos, morreu no último dia 23 vítima da covid-19. o resultado do exame para o novo coronavírus só ficou pronto na sexta-feira (10), 16 dias após sua morte https://t.co/s7hlicr1k0",-1,Covid-19,none,none,none
101,a equipe do deputado @genpeternelli fez um levantamento de todas as ações divulgadas pelo governo de combate ao alastramento do #coronavirus. saiba quais no link:https://t.co/h432aawfcj https://t.co/h432aawfcj,-1,combate,alastramento,none,none
102,a falta de confiança do governo federal nas ações de todos os governantes do país no enfrentamento do coronavírus torna essa batalha ainda mais difícil. não é possível que a essa altura do campeonato os governadores e prefeitos continuem a ser vistos como inimigos.,-1,governo federal,governantes do país,enfrentamento,none
103,a falta de testes para o coronavírus no brasil favorece a campanha fantasiosa de bolsonaro de que o vírus ‘está indo embora’. a subnotificação de casos amplia a falsa sensação de que a epidemia não é tão grave e de que o isolamento seria desnecessário. https://t.co/4mg9i0pfep,-1,falta de testes,brasil,none,subnotificação
104,"a gizelly foi abraçar a fernanda e ela o coronavírus, meu deus... ai desculpa!!!!!!!!!!!!!!!!essa mulher vai matar a globo inteira. hahahahahhahaha #redebbb #bbb20 https://t.co/lebi4wg3fa",1,a globo,none,none,none
105,"a globo quer o aumento de mortos por coronavirus desesperadamente!estão fazendo reportagens dizendo que muitos morrem e não dizem que foi coronavirus, quando as denúncias são bem ao contrário...a cloroquina tá salvando milhares pelo mundo. Chorem, urubus...@jairbolsonaro",-1,a globo,mortos,cloroquina,none
106,"a ilha de são luís concentra hoje 94% dos casos confirmados de coronavírus no maranhão. pactuamos com a @prefeiturasl a estratégia de atendimento que consta nesse card. por favor, ajudem a difundir via whatsapp e nas redes sociais. obrigado. https://t.co/c16psqi1sx",1,casos confirmados,maranhão,none,none
107,a imprensa não dá nenhuma notícia boa sobre coronavírus. sabe por quê? a questão é bolsonaro. assista! https://t.co/oo4lopfgdb,-1,imprensa,bolsonaro,none,none
108,"a itália, um dos países mais afetados pelo coronavírus, permitiu que parte do comércio reabrisse as portas. mas a preocupação com a doença continua. #borabrasil #bandjornalismo https://t.co/vhbg4xzk4y",1,itália,none,none,none
109,"a luta contra o novo coronavírus é diária e pede ações rápidas. entregamos nesta quarta-feira (15) o hospital recife 1, construído em 20 dias. essa é a quarta unidade pronta, dos 7 hospitais de campanha que estão sendo construídos. ao todo, serão 1000 leitos. #juntospelavida https://t.co/zpx8twzu0t",1,novo coronavírus,hospitais de campanha,leitos,none
110,"à medida que o mundo combate a pandemia de #covid19, secretário-geral das @nacoesunidas alertou para uma “epidemia” paralela. Segundo @antonioguterres, existe uma “perigosa epidemia de desinformação” que ameaça o enfrentamento ao novo #coronavírus.🔘 https://t.co/wlpoxjx4yb https://t.co/5xcwbfxtak",-1,combate a pandemia,nações unidas,epidemia,desinformação
111,"a national emergency library disponibilizou 1,4 milhão de e-books de maneira gratuita, mas pra isso usou o #coronavírus como desculpa, sem pedir autorização das editoras envolvidas! fundada em 1996 para arquivar páginas da web, começaram a digitalizar livros em 2005. https://t.co/srt7skcphi",1,none,none,none,none
112,"a organização mundial da saúde impediu os médicos de exortar os países a impor controles nas fronteiras para impedir a propagação do coronavírus, foi revelado. esqueça apenas os cortes de financiamento, precisamos de investigações e demissões. https://t.co/tpb9ytbzup",-1,organização mundial da saúde,controle nas fronteiras,propagação,none
113,"a pandemia do coronavírus é uma situação de grande dificuldade e por isso exige o comprometimento de todos nós. em coletiva, o governador @jdoriajr ressaltou a importância de obedecer às recomendações de isolamento social dada por especialistas. é hora de proteger quem amamos. https://t.co/6hg6m7fswy",1,pandemia do coronavírus,isolamento social,none,none
114,"a pauta de stories sobre influenza e coronavírus está pronta, mas a fadiga de postar é maior que tudo. não aguento mais esse inferno de vírus chinês! que saco, caralho! que ódio!",-1,vírus chinês,influenza,none,none
115,"a pedido de bolsonaro, exército já fez 2,2 milhões de comprimidos de cloroquina e vai ampliar produção. ministério da saúde tem dito que não há estudo científico que comprove ação contra o coronavírus (via @folhapainel) https://t.co/ujwrfeey31",-1,comprimidos de cloroquina,ministério da saúde,ação contra coronavírus,bolsonaro
116,"a quantidade de pessoas que começa a sair da toca para desvalorizar as mortes do coronavírus, sugerindo que mais importante do que a vida das pessoas é a economia, prova que estaline ainda é actual: a morte de uma pessoa é uma tragédia, de milhões, estatística.",-1,desvalorizar as mortes,none,none,none
117,a saga da primeira pessoa do mundo a esconder um exame de coronavirus que deu negativo continua https://t.co/j2iczkftvq,-1,exame de coronavirus,none,none,none
118,"a suécia pode ser o único país do mundo que vai acertando no combate ao coronavírus. eles não fecharam nada e não proibiram nada e agora pesquisadores de harvard dizem que eles podem estar certos.em um relatório da universidade de harvard, quatro epidemiologistas e",1,suécia,none,none,none
119,"a única cidade totalmente imune ao novo coronavírus é o quinari, no acre. o apelido da cidade vem da planta quina-quina, de onde se extrai o composto milagroso que cura a covid-19. cientistas mostraram que automaticamente todos os cidadãos nascidos lá nasceram imunes à doença.",1,acre,cura a covid-19,cientistas,imunes à doenças
120,a verdade por trás dos números do coronavírus que a imprensa brasileira esconde do povo. assista e divulgue! https://t.co/oo4lopfgdb,-1,números do coronavírus,imprensa brasileira,none,none
121,"acho que não devemos antecipar o caos, porque o caos não necessariamente vai ocorrer. todas as medidas necessárias a preservação da ordem pública e da segurança têm sido tomadas.https://t.co/zy8pm6adnc",1,preservação da ordem pública,none,none,none
122,"ações, em aracaju, ajudam a evitar a proliferação do novo coronavírus no transporte coletivo https://t.co/uekm5nncjk https://t.co/zku69veptn",1,proliferação do novo coronavírus,none,none,none
123,"acompanhado por honras militares e sob aplausos da equipe médica que o atendeu, o militar do #brasil, de 99 anos, saiu em uma cadeira de rodas do hospital após vencer o #coronavírus.https://t.co/p7zehwzt77",1,honrras militares,equipe médica,none,none
