Id	;	twitter	;	class
91	;	#cemitério #vilaformosamortos por #coronavirus?provavelmente muitos sim.#covid19#fiqueemcasa #stayhome https://t.co/68r73amxxv	;	-1
92	;	#combateaocoronavírus | nossos parlamentares estão apoiando as discussões sobre o combate ao #covid19 (ou #coronavírus). o deputado @genpeternelli (sp) falou sobre as principais ações discutidas dentro do parlamento. assista! https://t.co/nqyko1tnvp	;	-1
93	;	#coronavírus | @mineconomia propõe alternativa ao projeto de lei de apoio a estados e municípios aprovado pela câmara. entre as novas medidas e as que já estão em andamento, o valor do auxílio aos entes federativos chegaria a r$ 127,3 bilhões. saiba mais: https://t.co/k5ab4obxhm https://t.co/8xocztzqvl	;	1
94	;	#coronavírus | protocolo da vigilância sanitária sobre o descarte do lixo domiciliar em casos positivos para covid-19 em quarentena domiciliar. https://t.co/5lkcf48ofn https://t.co/zqvkasqo9y	;	1
95	;	#coronavirus 15 de abril 2020#covid19 https://t.co/a6qrnx6fzt	;	1
96	;	#coronavírus: aplicações acontecem das 19 às 22 horas e a previsão é que sejam feitas ao longo de duas semanas nas praças públicas, avenidas, serviços de saúde e comércios https://t.co/yq7bobv2hp	;	1
97	;	#coronavírus: bolsonaro é eleito o pior líder a lidar com o coronavírus https://t.co/ifqhult22h	;	1
98	;	#coronavírus: mais um exemplo do esforço brasileiro no combate à covid-19. uma equipe de cientistas da unesp descobriu um gene humano que pode ter relação com a maior evidência de pacientes homens e idosos infectados pelo coronavírus https://t.co/e76cm1lg6l	;	-1
99	;	#coronavírus: os estados unidos registraram 2.228 mortes nessa terça-feira (14/04) provocadas pelo novo coronavírus. o número foi apresentado às 21h30, em contagem feita pela universidade johns hopkins. agora, o país tem pouco mais de 26 mil mortes https://t.co/qcg7yms8hi	;	1
100	;	#coronavírus: plano piloto é a ra que menos respeita o isolamento. uma média de 50,4% das pessoas da área central de brasília se mantiveram em quarentena. na outra ponta, está o riacho fundo 2, com 79,1% #metrópoles https://t.co/armkcj6chi	;	-1
101	;	#covid19| não há risco de desabastecimento no país, garante o ministro @tarcisiogdf, @minfraestrutura, em entrevista exclusiva à tv brasil 📺 #coronavirus https://t.co/fwgdgcq1rn	;	1
102	;	#covid19| ministro do @minfraestrutura, @tarcisiogdf, indica que o @govbr trabalha para otimizar a malha aérea neste momento de crise com a #pandemia do #coronavirus, em entrevista exclusiva à tv brasil 📺 https://t.co/2ogpnrzyde	;	1
103	;	#covid19pt #açores 15/04, 11h55: açores registam 5º óbito por coronavírus, https://t.co/qllpj6wa7v	;	1
104	;	#defensorasedefensorespúblicosnãoparam#adefensoriaestadualnãopara#defensoriasimcoronavírus: decreto de itaguaí distribui cestas básicas à alunos da rede públicahttps://t.co/cgg9zjg06r https://t.co/qe8pxe4too	;	-1
105	;	#defensorasedefensorespúblicosnãoparam#adefensoriaestadualnãopara#defensoriasimcoronavírus: gt de regularização fundiária da dpe-pa garante a suspensão de reintegrações de posse em belém e castanhalhttps://t.co/gu0rjpazly https://t.co/totxqu8vf8	;	1
106	;	#defensorasedefensorespúblicosnãoparam#defensoriasimcoronavírus: defensoria pública de ms faz recomendação ao município de sonora para que seja realizado o controle de acesso de pescadores à comunidade quilombola durante pandemiahttps://t.co/4wjh3fxyut https://t.co/uozfdmfnob	;	1
107	;	#estamospresentes | quando unimos nossas forças, podemos ir mais longe! 💪 seguimos empenhados em apoiar ações de combate ao coronavírus e temos uma novidade: iniciamos as obras para implantação rede de água em hospital de campanha [...] https://t.co/xedfle20e9	;	1
108	;	#mandetta até durou muito no governo nefasto e fascistóide do #bozo - certamente entrará um pau mandado que irá ser subserviente ao discurso anti-vida do covidiota maior da nação. #coronavirus #covid2019 #pandemia #bozocaladopoeta https://t.co/iw6gwkiwh0	;	1
109	;	#plenário: dep. @cabobebeto parabeniza iniciativas do @ifal_oficial e da @ufaloficial no enfrentamento ao coronavírus.	;	-1
110	;	#pracegover: ícones representando duas pessoas, com uma seta indicando o distanciamento entre elas. texto: distanciamento social não é férias. precisamos estar sempre atentos à higiene e sair de casa somente em extrema necessidade. o coronavírus não obedece às suas regras.	;	1
111	;	#senadopl149nao o brasil sairá dessa armadilha criada graças ao coronavirus. os políticos corruptos não ficarão impunes. https://t.co/aiefhio7fz	;	1
112	;	#todesacocheiode tanto ouvir a palavra coronavírus. https://t.co/82l3aqtfda	;	-1
113	;	bolsonaro abraça os eleitores, dá a mão pras pessoas, vai na padaria, vai na farmacia: 3 testes negativos pro coronavírus.• wilson witzelquarentena, lockdown, isolamento total, máscara, álcool em gel: pegou coronavírus.parece que o jogo virou, queridinho!	;	-1
114	;	☀ #bomdia#democracia #divulgueaverdade #carapicuibasp #saude 💉 #coronavirus #maismedicos #defendaosus🇧🇷 por zezinho almeida - enrolando o lero. bolsonaro incompetente e mandeta sem planejamento vão empurrando com a barriga testagem? aumentar leitos? respiradores ? https://t.co/0rotuoci3z	;	1
115	;	✊🏿 mst enfrenta pandemia do coronavírus com a solidariedade | sem terra doam mais de três toneladas de frutas e verduras dos assentamentos em santa maria da boa vista, no pernambucosaiba mais: https://t.co/rjzwm6c71j#quarentenasemterra#alimentosaudáveléumdireito https://t.co/yfut0nkvrk	;	-1
116	;	✨ mais uma iniciativa pra ajudar quem estiver passando por dificuldade... além do varal de máscaras a instituição também tá arrecadando alimentos para a montagem de cestas básicas ✨https://t.co/njqgxpw6wt	;	1
117	;	➡ médicos preveem que brasil não volta à normalidade antes de agostotanto o ministério da saúde quanto especialistas ouvidos pelo uol esperam que a situação do coronavírus piore cada vez mais até o mês de junho.segue o fio para entender melhor! 👇 https://t.co/mjlyk0h2ru	;	1
118	;	🌟 maranhão não registra mortes por coronavírus pela primeira vez em 12 dias https://t.co/dcn0tnmaaq	;	-1
119	;	👩🔬 concurso para área da saúde✍ inscrições pelo site, de 15/04 a 22/04: https://t.co/6ruwhfa5pc#vereadorricardoteixeira #respeito #trabalho #juntossomosmaisfortes #coronavirus #concursopublico https://t.co/kpjstlqpee	;	1
120	;	💊🔎 três farmácias no leblon foram inspecionadas na segunda-feira (13) por agentes da @visa_rio, após denúncias de comercialização de testes rápidos para o novo #coronavirus. na ação, não foi constatada a venda do produto, restrita a unidades hospitalares. #riocontraocorona https://t.co/lofchrrmoa	;	1
121	;	🔴 coronavírusneste momento os estados unidos se tornam o país com mais mortes e mais casos de #coronavírus. o país mais rico e poderoso do planeta agora é o epicentro da pandemia	;	1
122	;	🔴 urgente número de casos confirmados de #coronavírus no mundo chega a 2 milhões	;	-1
123	;	🔴 urgentecasos confirmados de #coronavírus no mundo chegam a 2 milhões	;	-1
124	;	😷 o @governosp comprou 18 milhões de #máscaras de proteção da china.✅ a medida vai reforçar os estoques de equipamentos de proteção individual (epis) da #secretariadasaúdesp.▶️ o investimento totaliza r$ 63 milhões.🔗 https://t.co/xh5ezicreb#coronavírus #governosp https://t.co/rjg4a4obih	;	-1
125	;	o coronavírus não foi criado como arma biológica, mas psicológica. não para espalhar mortes, mas para espalhar o medo. mas não tenho dúvidas de que, para o caso de falhar essa estratégia, uma pandemia de verdade já esteja em preparação.	;	1
126	;	1) está com coronavírus 2) está com depressão 3) o câncer voltou 4) sabe que tomará um golpe militar em breve 5) está de saco cheio e desencanou da presidência 6) todas as alternativas. https://t.co/irip3bonav	;	-1
127	;	107 respiradores chegam ao maranhão para ajudar no combate ao #coronavírus. https://t.co/emjru8ky8b	;	-1
128	;	12. como monitorar a operação de cada processo logístico? 13. exemplos da implementação do rfid no brasil no segmento de moda? 14. como construir um procedimento otimizado e abrangente desde o início? 15. como o coronavírus está afetando hoje as operações da logística da moda?	;	1
129	;	3 - os coronavírus citados são conhecidos causadores de resfriados leves e sazonais. observe na figura que eles não conservam a mesma proteína s capaz de infectar o pulmão pelo mesmo receptor do covid-19 (ace2). https://t.co/rf9ffk0ygl https://t.co/4bldy4h2ke	;	1
130	;	32% dos casos de coronavírus no paraná já estão curados! são 199 pessoas recuperadas entre 9 e 84 anos de idade!https://t.co/41dvk8k8un	;	-1
131	;	a água da torneira do rio de janeiro mata o coronavírusretiuitem até chegar no governador whitney witzel	;	1
132	;	a análise leva em conta apenas boletins de ocorrência cujo registro diz que o assassinato ocorreu em casa, mas, como em alguns casos, esse campo não é preenchido, os números podem ser ainda maiores https://t.co/zilxjgazct	;	-1
133	;	a atividade humana desacelerou no mundo todo devido ao surto de coronavírus, mas a extração ilegal de madeira e grilagem de terras na floresta amazônica não mostra sinais de diminuição https://t.co/jxwzajvwjl	;	-1
134	;	a câmara dos deputados aprovou ontem, projeto que estabelece auxílio financeiro a estados e municípios durante 6 meses pela perda das receitas com arrecadação de impostos por causa da pandemia do coronavírus. o impacto do projeto aprovado pelos deputados é de r$ 89,6 bilhões. https://t.co/qtqkzl1vru	;	-1
135	;	a capital amazonense será a primeira a receber voluntários da saúde do programa “o brasil conta comigo”. estudantes de medicina, enfermagem, fisioterapia e farmácia atuarão no combate ao coronavírus. também haverá o apoio da tele-uti para auxiliar no atendimento dos casos.	;	1
136	;	a cbf e a cnc têm trinta e cinco alternativas diferentes para a realização do campeonato br 2020, incluindo jogos por pontos corridos e decisões por mata-mata. as opções são para a disputa do torneio a partir de maio e até os últimos meses deste ano https://t.co/ihhvvuph7p	;	1
137	;	a crise sanitária desencadeada pelo coronavírus no mundo mostra a importância de um sistema de saúde inclusivo e universal no brasil. graças aos investimentos robustos feitos pelos governos lula e dilma na saúde, o país tem condições de passar pela fase aguda da doença.	;	1
138	;	a cura do coronavírus... https://t.co/qhn6ycumpf	;	1
139	;	a empresária samanta santos faria, de 35 anos, morreu no último dia 23 vítima da covid-19. o resultado do exame para o novo coronavírus só ficou pronto na sexta-feira (10), 16 dias após sua morte https://t.co/s7hlicr1k0	;	1
140	;	a equipe do deputado @genpeternelli fez um levantamento de todas as ações divulgadas pelo governo de combate ao alastramento do #coronavirus. saiba quais no link:https://t.co/h432aawfcj https://t.co/h432aawfcj	;	-1
141	;	a falta de confiança do governo federal nas ações de todos os governantes do país no enfrentamento do coronavírus torna essa batalha ainda mais difícil. não é possível que a essa altura do campeonato os governadores e prefeitos continuem a ser vistos como inimigos.	;	1
142	;	a falta de testes para o coronavírus no brasil favorece a campanha fantasiosa de bolsonaro de que o vírus ‘está indo embora’. a subnotificação de casos amplia a falsa sensação de que a epidemia não é tão grave e de que o isolamento seria desnecessário. https://t.co/4mg9i0pfep	;	-1
143	;	a febraban teve a cara de pau de dizer hoje que em tempos de pandemia tinha que aumentar juros!!! é uma fala criminosa!! pobres morrendo de fome, gente morrendo de coronavírus, e banqueiro vir falar em aumentar lucro? vocês tinham é que estar sendo taxados, seus irresponsáveis!!!	;	-1
144	;	a galera reclamando da ciência pq não ta tendo jogo do seu time, sério?!ah mas realmente, pra que seguir a ciência né?vamos abrir uma pesquisa pública para os jogadores de futebol e a cbf resolverem o problema do coronavirus, que tal?chama tbm os apresentadores da record.	;	-1
145	;	a gizelly foi abraçar a fernanda e ela o coronavírus, meu deus... ai desculpa!!!!!!!!!!!!!!!!essa mulher vai matar a globo inteira. hahahahahhahaha #redebbb #bbb20 https://t.co/lebi4wg3fa	;	-1
146	;	a globo quer o aumento de mortos por coronavirus desesperadamente!estão fazendo reportagens dizendo que muitos morrem e não dizem que foi coronavirus, quando as denúncias são bem ao contrário...a cloroquina tá salvando milhares pelo mundo.chorem, urubus...@jairbolsonaro	;	-1
